Date,BBCA,TLKM,ASII,UNVR,ANTM
1/2/2019,28175,3870,8450,10000,960
1/3/2019,27700,3910,7225,9810,1055
1/4/2019,27375,3930,7275,9770,940
1/7/2019,29950,4220,7375,9000,850
1/8/2019,31050,4280,7025,9110,925
1/10/2019,6040,4250,6550,9240,955
1/11/2019,6325,4080,6800,8740,855
1/14/2019,26000,3850,8150,9710,780
1/15/2019,26300,3930,8150,9960,820
1/16/2019,26425,3990,8250,9585,870
1/17/2019,26650,3990,8275,9775,845
1/18/2019,27125,4020,8475,9785,850
1/21/2019,27725,4030,8325,9750,855
1/22/2019,28000,4000,8200,9810,830
1/23/2019,27500,3920,8175,9790,860
1/24/2019,27300,3860,8425,9815,895
1/25/2019,27500,3880,8425,9810,930
1/28/2019,27475,3780,8375,9555,910
1/29/2019,27700,3840,8375,9520,920
1/30/2019,27600,3860,8350,9815,950
1/31/2019,28175,3900,8450,10000,965
2/1/2019,26200,3730,8200,9280,740
2/4/2019,27500,3950,7450,9880,920
2/5/2019,28425,3830,7475,9045,820
2/7/2019,30000,4250,7300,9015,840
2/8/2019,30825,4280,7075,9000,900
2/9/2019,30000,4410,6550,9590,1170
2/10/2019,6050,4200,6450,9090,920
2/12/2019,6425,3950,6650,8570,790
2/13/2019,27100,3790,7675,9850,1010
2/14/2019,26900,3740,7600,9775,1000
2/15/2019,26800,3790,7600,9600,950
2/18/2019,27400,3900,7875,9885,995
2/19/2019,26900,3920,7775,9860,1025
2/20/2019,27500,3870,7775,10005,1060
2/21/2019,27525,3870,7700,9905,1035
2/22/2019,27450,3840,7625,9900,1055
2/25/2019,27450,3910,7650,9765,1085
2/26/2019,27775,3930,7600,9995,1045
2/27/2019,27825,3910,7600,9800,1030
2/28/2019,27575,3860,7150,9735,1015
3/1/2019,25900,3740,8375,9500,750
3/5/2019,28375,3820,7425,8930,790
3/7/2019,30000,4240,7275,8980,815
3/9/2019,30275,4350,6475,9495,1110
3/10/2019,6040,4200,6475,9015,965
3/12/2019,6375,3920,6525,8535,775
3/13/2019,27475,3730,7100,9990,965
3/14/2019,27400,3730,7275,9980,965
3/15/2019,27500,3740,7225,9980,975
3/18/2019,27700,3830,7400,9900,955
3/19/2019,27500,3780,7300,9865,960
3/20/2019,27575,3780,7250,9945,960
3/21/2019,27450,3800,7250,9845,965
3/22/2019,27450,3820,7250,9850,960
3/25/2019,27250,3770,7050,9605,920
3/26/2019,27325,3820,7150,9650,915
3/27/2019,27250,3820,7100,9780,900
3/28/2019,27450,3890,7125,9845,880
3/29/2019,27750,3950,7325,9845,885
4/1/2019,26025,3710,8350,9560,760
4/2/2019,27500,3780,8200,9780,1010
4/3/2019,27675,3850,7150,9800,1050
4/4/2019,27725,4040,7575,9800,915
4/7/2019,29950,4250,7250,8995,820
4/9/2019,30100,4290,6500,9515,1100
4/10/2019,6045,4190,6425,9085,960
4/11/2019,6275,4150,6700,8605,840
4/12/2019,6365,3990,6550,8400,785
4/15/2019,27525,3830,7600,9760,885
4/16/2019,27475,3870,7750,9880,895
4/18/2019,28125,3860,7850,9880,885
