Date,Rate
9/20/2023,15457.91
9/21/2023,15472.98
9/22/2023,15473.99
9/25/2023,15459.92
9/26/2023,15476
9/27/2023,15541.32
9/29/2023,15603.63
10/2/2023,15564.43
10/3/2023,15596.59
10/4/2023,15678
10/5/2023,15714.18
10/6/2023,15679
10/9/2023,15706.14
10/10/2023,15753.38
10/11/2023,15786.54
10/12/2023,15788.55
10/13/2023,15780.51
10/16/2023,15787.55
10/17/2023,15794.58
10/18/2023,15796.59
10/19/2023,15809.66
10/20/2023,15917.19
10/23/2023,15935.28
10/24/2023,16022.72
10/25/2023,15948.34
10/26/2023,15950.35
10/27/2023,16012.67
10/30/2023,16020.7
10/31/2023,15995.58
11/1/2023,15976.49
11/2/2023,16025.73
11/3/2023,15940.31
11/6/2023,15849.85
11/7/2023,15627.75
11/8/2023,15670.97
11/9/2023,15707.15
11/10/2023,15727.25
11/13/2023,15771.47
11/14/2023,15791.57
11/15/2023,15777.5
11/16/2023,15580.51
11/17/2023,15672.98
11/20/2023,15581.52
11/21/2023,15496.09
11/22/2023,15513.18
11/23/2023,15661.92
11/24/2023,15670.97
11/27/2023,15664.93
11/28/2023,15604.64
11/29/2023,15527.25
11/30/2023,15460.92
12/1/2023,15561.42
12/4/2023,15601.62
12/5/2023,15523.23
12/6/2023,15581.52
12/7/2023,15581.52
12/8/2023,15613.68
12/11/2023,15577.5
12/12/2023,15692.07
12/13/2023,15709.16
12/14/2023,15707.15
12/15/2023,15570.47
12/18/2023,15580.51
12/19/2023,15593.58
12/20/2023,15583.53
12/21/2023,15589.56
12/22/2023,15610.67
12/27/2023,15566.44
12/28/2023,15491.07
12/29/2023,15493.08
1/2/2024,15516.19
1/3/2024,15550.36
1/4/2024,15572.48
1/5/2024,15602.63
1/8/2024,15595.59
1/9/2024,15599.61
1/10/2024,15595.59
1/11/2024,15645.84
1/12/2024,15635.79
1/15/2024,15636.8
1/16/2024,15632.77
1/17/2024,15669.96
1/18/2024,15717.19
1/19/2024,15708.15
1/22/2024,15706.14
1/23/2024,15705.14
1/24/2024,15734.28
1/25/2024,15797.59
1/26/2024,15845.83
1/29/2024,15908.15
1/30/2024,15904.13
1/31/2024,15874.98
2/1/2024,15882.01
2/2/2024,15853.88
2/5/2024,15766.44
2/6/2024,15783.52
2/7/2024,15812.67
2/12/2024,15763.42
2/13/2024,15690.06
2/15/2024,15662.92
2/16/2024,15684.03
2/19/2024,15732.27
2/20/2024,15708.15
2/21/2024,15737.3
2/22/2024,15736.29
2/23/2024,15708.15
2/26/2024,15666.94
2/27/2024,15713.17
2/28/2024,15733.27
2/29/2024,15751.36
3/1/2024,15793.58
3/4/2024,15774.48
3/5/2024,15801.61
3/6/2024,15834.78
3/7/2024,15801.61
3/8/2024,15736.29
3/13/2024,15681.01
3/14/2024,15653.88
3/15/2024,15659.91
3/18/2024,15702.12
3/19/2024,15750.36
3/20/2024,15790.56
3/21/2024,15805.64
3/22/2024,15740.31
3/25/2024,15851.86
3/26/2024,15873.98
3/27/2024,15875.99
3/28/2024,15932.26
4/1/2024,15952.36
4/2/2024,15988.55
4/3/2024,16013.67
4/4/2024,16002.61
4/5/2024,15986.53
4/16/2024,15952.36
4/17/2024,16256.88
4/18/2024,16321.2
4/19/2024,16257.89
4/22/2024,16361.4
4/23/2024,16305.12
4/24/2024,16325.22
4/25/2024,16241.81
4/26/2024,16289.04
4/29/2024,16303.11
4/30/2024,16330.25
5/2/2024,16357.38
5/3/2024,16283.01
5/6/2024,16174.47
5/7/2024,16105.13
5/8/2024,16134.27
5/13/2024,16161.41
5/14/2024,16165.42
5/15/2024,16211.66
5/16/2024,16150.35
5/17/2024,16023.72
5/20/2024,16057.89
